KOD,AD,KREDİ,AKTS
"HEM1022","Beslenme",2,3
"ATA102","Atatürk İlkeleri ve İnkılap Tarihi II",2,2
"TUD102","Türk Dili II",2,2
"YAD102","Yabancı Dil II (İngilizce)",2,2
"HEM2103","HEMŞİRELİKTE TEKNOLOJİ KULLANIMI",2,3
"HEM2201","HEMŞİRELİK FELSEFESİ",2,3
"HEM2203","HEMŞİRELİKTE ERGONOMİ VE KONFOR",2,3
"HEM2205","DİYABET HEMŞİRELİĞİ",2,3
"HEM2207","HEMŞİRELİKTE LİDERLİK",2,3
"HEM2209","HEMŞİRELİK SÜRECİ",2,3
"HEM2211","TAMAMLAYICI TEDAVİLER",2,3
"HEM2213","OSTOMİ HEMŞİRELİĞİ",2,3
"HEM2217","HEMŞİRELİKTE İNOVATİF YÖNETİM TEKNİKLERİ",2,3
"HEM2219","KÜLTÜRLERARASI HEMŞİRELİK",2,3
"BTK3627","TARLA BİTKİLERİ HASTALIK VE ZARARLILARI",2,3
"FTR2021","FİZİKSEL AKTİVİTE VE SAĞLIKLI YAŞAM",2,3
"HEM2001","Dahili Hastalıklar Hemşireliği",5,9
"HEM2019","Hemşirelikte Öğretim",2,3
"HEM2104","EPİDEMİYOLOJİ",2,3
"HEM2202","GERİATRİ HEMŞİRELİĞİ",2,3
"HEM2204","DİYALİZ HEMŞİRELİĞİ",2,3
"HEM2206","KARDİYOLOJİ HEMŞİRELİĞİ",2,3
"HEM2210","ÖZEL DURUMLARDA BESLENME",2,3
"HEM2212","YARA BAKIMI",2,3
"HEM2214","İLETİŞİM YÖNTEMLERİ",2,3
"HEM2218","SAĞLIK HUKUKU",2,3
"HEM2220","BÜYÜME-GELİŞME",2,3
"HEM2222","SAĞLIK EĞİTİMİ",2,3
"HEM2224","TEMEL ONKOLOJİ HEMŞİRELİĞİ",2,3
"HEM2226","PALYATİF BAKIM",2,3
"PRJ3001","PROJE KÜLTÜRÜ",1,1
"HEM3201","YENİDOĞAN HEMŞİRELİĞİ",2,3
"HEM3205","YOĞUN BAKIM HEMŞİRELİĞİ",2,3
"HEM3209","AİLE PLANLAMASI VE CİNSEL EĞİTİM",2,3
"HEM3213","SAĞLIK POLİTİKALARI",2,3
"HEM3215","EVDE HASTA BAKIMI",2,3
"HEM3217","İŞ YERİ HEMŞİRELİĞİ",2,3
"HEM3219","TEMEL LİYEZON HEMŞİRELİĞİ",2,3
"HEM3221","HEMŞİRELİKTE SİMÜLASYON KULLANIMI",2,3
"HEM3223","HASTA GÜVENLİĞİ",2,3
"HEM3225","İNFÜZYON HEMŞİRELİĞİ",2,3
"BAH3119","ORGANİK TARIM",2,3
"BAH3125","SÜS BİTKİLERİNE GİRİŞ",2,3
"BDY4103","FONKSİYONEL GIDALAR VE BESLENME",2,3
"BTK4625","PESTİSİTLER VE ÇEVRE",2,3
"HEM3206","ANA ÇOCUK SAĞLIĞI",2,3
"HEM3218","KARŞILAŞTIRMALI SAĞLIK SİSTEMLERİ",2,3
"HEM3220","ÇOCUK ERGEN RUH SAĞLIĞI HEMŞİRELİĞİ",2,3
"HEM3222","DOĞUM ÖNCESİ HAZIRLIK",2,3
"HEM3224","İNFERTİLİTE HEMŞİRELİĞİ",2,3
"HEM3228","ÇOCUK ACİLLERDE HEMŞİRELİK YAKLAŞIMI",2,3
"BAH3110-S","EGZOTİK MEYVELER",2,3
"BAH4130","İÇ MEKAN SÜS BİTKİLERİ",2,3
"BDY4202","GIDA GÜVENLİĞİ VE SAĞLIKLI BESLENME",2,3
"OKU3102","ÇOCUK İHMALİ VE İSTİSMARI",2,3
"RES3510","İLETİŞİM VE BEDEN DİLİ",2,3
"SOS3108","BURSA TARİHİ",2,3
"SSY3016","KİTLE İLETİŞİM TEORİLERİ",2,3
"SSY3066","TEKNOLOJİ TARTIŞMALARI VE TOPLUM",2,3
"YAD256","HEMŞİRELİKTE İNGİLİZCE METİN OKUMA",2,3
"HEM4007","MESLEKİ EĞİTİM UYGULAMASI I",40,25
"HEM4009","HEMŞİRELİKTE YÖNETİM",5,5
"HEM4008","MESLEKİ EĞİTİM UYGULAMASI II",40,25
"HEM4010","HEMŞİRELİKTE SORUN ÇÖZME YÖNTEMLERİ",2,5

